NAME                                    VERSION                             TYPE
shadow-utils                            2:4.9-16.el9                        rpm
sigs.k8s.io/knftables                   v0.0.18                             go-module  (+11 duplicates)
six                                     1.15.0                              python
sqlite-libs                             3.34.1-10.el9_8                     rpm
stdlib                                  go1.25.7                            go-module  (+17 duplicates)
subscription-manager                    1.29.50                             python
subscription-manager                    1.29.50-1.el9                       rpm
subscription-manager-rhsm-certificates  20220623-1.el9                      rpm
systemd                                 252-67.el9_8.4                      rpm
systemd-libs                            252-67.el9_8.4                      rpm
systemd-pam                             252-67.el9_8.4                      rpm
systemd-python                          234                                 python
systemd-rpm-macros                      252-67.el9_8.4                      rpm
tar                                     2:1.34-11.el9                       rpm
tpm2-tss                                3.2.3-1.el9                         rpm
tzdata                                  2026c-1.el9_8                       rpm
urllib3                                 1.26.5                              python
usermode                                1.114-7.el9                         rpm
util-linux                              2.37.4-25.el9                       rpm
util-linux-core                         2.37.4-25.el9                       rpm
vim-minimal                             2:8.2.2637-26.el9_8.13              rpm
virt-what                               1.27-2.el9                          rpm
wget                                    1.21.1-8.el9_4                      rpm
which                                   2.21-30.el9_6                       rpm
xz-libs                                 5.2.5-8.el9_0                       rpm
yum                                     4.14.0-34.el9_8                     rpm
zlib                                    1.2.11-40.el9                       rpm
