NAME                                              VERSION                                   TYPE      
libmount                                          2.32.1-42.el8_8                           rpm        
libnghttp2                                        1.33.0-3.el8_2.1                          rpm        
libnl3                                            3.7.0-1.el8                               rpm        
libnsl2                                           1.2.0-2.20180605git4a062cf.el8            rpm        
libpsl                                            0.20.2-6.el8                              rpm        
libpwquality                                      1.4.4-6.el8                               rpm        
librepo                                           1.14.2-4.el8                              rpm        
libreport-filesystem                              2.9.5-15.el8                              rpm        
librhsm                                           0.0.3-5.el8                               rpm        
libseccomp                                        2.5.2-1.el8                               rpm        
libselinux                                        2.9-8.el8                                 rpm        
libsemanage                                       2.9-9.el8_6                               rpm        
libsepol                                          2.9-3.el8                                 rpm        
libsigsegv                                        2.11-5.el8                                rpm        
libsmartcols                                      2.32.1-42.el8_8                           rpm        
libsolv                                           0.7.20-4.el8_7                            rpm        
libssh                                            0.9.6-10.el8_8                            rpm        
libssh-config                                     0.9.6-10.el8_8                            rpm        
libstdc++                                         8.5.0-18.el8                              rpm        
libtasn1                                          4.13-4.el8_7                              rpm        
libtirpc                                          1.1.4-8.el8                               rpm        
libunistring                                      0.9.9-3.el8                               rpm        
libusbx                                           1.0.23-4.el8                              rpm        
libuser                                           0.62-25.el8                               rpm        
libutempter                                       1.1.6-14.el8                              rpm        
libuuid                                           2.32.1-42.el8_8                           rpm        
libverto                                          0.3.2-2.el8                               rpm        
libxcrypt                                         4.1.1-6.el8                               rpm        
libxml2                                           2.9.7-16.el8                              rpm        
libyaml                                           0.1.7-5.el8                               rpm        
libzstd                                           1.4.4-1.el8                               rpm        
lockfile                                          0.12.2                                    python     
lua-libs                                          5.3.4-12.el8                              rpm        
lz4-libs                                          1.8.3-3.el8_4                             rpm        
mpfr                                              3.1.6-1.el8                               rpm        
ncurses                                           6.1-9.20180224.el8                        rpm        
ncurses-base                                      6.1-9.20180224.el8                        rpm        
ncurses-libs                                      6.1-9.20180224.el8                        rpm        
nettle                                            3.4.1-7.el8                               rpm        
npth                                              1.5-4.el8                                 rpm        
oauthlib                                          3.2.2                                     python     
openldap                                          2.4.46-18.el8                             rpm        
openssh                                           8.0p1-17.el8_7                            rpm        
openssh-clients                                   8.0p1-17.el8_7                            rpm        
openssl                                           1:1.1.1k-9.el8_7                          rpm        
openssl-libs                                      1:1.1.1k-9.el8_7                          rpm        
p11-kit                                           0.23.22-1.el8                             rpm        
p11-kit-trust                                     0.23.22-1.el8                             rpm        
packaging                                         23.1                                      python     
pam                                               1.3.1-25.el8                              rpm        
passwd                                            0.80-4.el8                                rpm        
pcre                                              8.42-6.el8                                rpm        
pcre2                                             10.32-3.el8_6                             rpm        
perl-Carp                                         1.42-396.el8                              rpm        
perl-Data-Dumper                                  2.167-399.el8                             rpm        
perl-Digest                                       1.17-395.el8                              rpm        
perl-Digest-MD5                                   2.55-396.el8                              rpm        
perl-Encode                                       4:2.97-3.el8                              rpm        
perl-Errno                                        0:1.28-422.el8                            rpm        
perl-Error                                        1:0.17025-2.el8                           rpm        
perl-Exporter                                     5.72-396.el8                              rpm        
perl-File-Path                                    2.15-2.el8                                rpm        
perl-File-Temp                                    0.230.600-1.el8                           rpm        
perl-Getopt-Long                                  1:2.50-4.el8                              rpm        
perl-Git                                          2.39.3-1.el8_8                            rpm        
perl-HTTP-Tiny                                    0.074-1.el8                               rpm        
perl-IO                                           0:1.38-422.el8                            rpm        
perl-IO-Socket-IP                                 0.39-5.el8                                rpm        
perl-IO-Socket-SSL                                2.066-4.module+el8.3.0+6446+594cad75      rpm        
perl-MIME-Base64                                  3.15-396.el8                              rpm        
perl-Mozilla-CA                                   20160104-7.module+el8.3.0+6498+9eecfe51   rpm        
perl-Net-SSLeay                                   1.88-2.module+el8.6.0+13392+f0897f98      rpm        
perl-PathTools                                    3.74-1.el8                                rpm        
perl-Pod-Escapes                                  1:1.07-395.el8                            rpm        
perl-Pod-Perldoc                                  3.28-396.el8                              rpm        
perl-Pod-Simple                                   1:3.35-395.el8                            rpm        
perl-Pod-Usage                                    4:1.69-395.el8                            rpm        
perl-Scalar-List-Utils                            3:1.49-2.el8                              rpm        
perl-Socket                                       4:2.027-3.el8                             rpm        
perl-Storable                                     1:3.11-3.el8                              rpm        
perl-Term-ANSIColor                               4.06-396.el8                              rpm        
perl-Term-Cap                                     1.17-395.el8                              rpm        
perl-TermReadKey                                  2.37-7.el8                                rpm        
perl-Text-ParseWords                              3.30-395.el8                              rpm        
perl-Text-Tabs+Wrap                               2013.0523-395.el8                         rpm        
perl-Time-Local                                   1:1.280-1.el8                             rpm        
perl-URI                                          1.73-3.el8                                rpm        
perl-Unicode-Normalize                            1.25-396.el8                              rpm        
perl-constant                                     1.33-396.el8                              rpm        
perl-interpreter                                  4:5.26.3-422.el8                          rpm        
perl-libnet                                       3.11-3.el8                                rpm        
perl-libs                                         4:5.26.3-422.el8                          rpm        
perl-macros                                       4:5.26.3-422.el8                          rpm        
perl-parent                                       1:0.237-1.el8                             rpm        
perl-podlators                                    4.11-1.el8                                rpm        
perl-threads                                      1:2.21-2.el8                              rpm        
perl-threads-shared                               1.58-2.el8                                rpm        
pexpect                                           4.8.0                                     python     
pip                                               20.2.4                                    python     
pip                                               23.1.2                                    python     
pipenv                                            2023.6.26                                 python     
platform-python                                   3.6.8-51.el8_8.1                          rpm        
platform-python-setuptools                        39.2.0-7.el8                              rpm        
platformdirs                                      3.9.1                                     python     
popt                                              1.18-1.el8                                rpm        
